time,cumulativeEmpty,cumulativeBatchingIdleReward,batchingIdleTime,batchingIdleFraction
121.5,10.95,77.4,38.7,0.3185185185185185185185185185185185
121.6,10.95,77.4,38.7,0.3182565789473684210526315789473684
121.7,10.95,77.4,38.7,0.3179950698438783894823336072308956
121.8,10.95,77.4,38.7,0.3177339901477832512315270935960591
121.9,10.95,77.4,38.7,0.3174733388022969647251845775225595
122.0,10.95,77.4,38.7,0.3172131147540983606557377049180328
122.1,10.95,77.4,38.7,0.3169533169533169533169533169533170
122.2,10.95,77.4,38.7,0.3166939443535188216039279869067103
122.3,10.95,77.4,38.7,0.3164349959116925592804578904333606
122.4,10.95,77.4,38.7,0.3161764705882352941176470588235294
122.5,10.95,77.4,38.7,0.3159183673469387755102040816326531
122.6,10.95,77.4,38.7,0.3156606851549755301794453507340946
122.7,10.95,77.4,38.7,0.3154034229828850855745721271393643
122.8,10.95,77.4,38.7,0.3151465798045602605863192182410423
122.9,10.95,77.4,38.7,0.3148901545972335231895850284784378
123.0,10.95,77.4,38.7,0.3146341463414634146341463414634146
123.1,10.95,77.4,38.7,0.3143785540211210398050365556458164
123.2,10.95,77.4,38.7,0.3141233766233766233766233766233766
123.3,10.95,77.4,38.7,0.3138686131386861313868613138686131
123.4,10.95,77.4,38.7,0.3136142625607779578606158833063209
123.5,10.95,77.4,38.7,0.3133603238866396761133603238866397
123.6,10.95,77.4,38.7,0.3131067961165048543689320388349515
123.7,10.95,77.4,38.7,0.3128536782538399353274050121261116
123.8,10.95,77.4,38.7,0.3126009693053311793214862681744750
123.9,10.95,77.4,38.7,0.3123486682808716707021791767554479
124.0,10.95,77.4,38.7,0.3120967741935483870967741935483871
124.1,10.95,77.4,38.7,0.3118452860596293311845286059629331
124.2,10.95,77.4,38.7,0.3115942028985507246376811594202899
124.3,10.95,77.4,38.7,0.3113435237329042638777152051488335
124.4,10.95,77.4,38.7,0.3110932475884244372990353697749196
124.5,10.95,77.4,38.7,0.3108433734939759036144578313253012
124.6,10.95,77.4,38.7,0.3105939004815409309791332263242376
124.7,10.95,77.4,38.7,0.3103448275862068965517241379310345
124.8,10.95,77.4,38.7,0.3100961538461538461538461538461538
124.9,10.95,77.4,38.7,0.3098478783026421136909527622097678
125.0,10.95,77.4,38.7,0.3096
125.1,10.95,77.4,38.7,0.3093525179856115107913669064748201
125.2,10.95,77.4,38.7,0.3091054313099041533546325878594249
125.3,10.95,77.4,38.7,0.3088587390263367916999201915403033
125.4,10.95,77.4,38.7,0.3086124401913875598086124401913876
125.5,10.95,77.4,38.7,0.3083665338645418326693227091633466
125.6,10.95,77.4,38.7,0.3081210191082802547770700636942675
125.7,10.95,77.4,38.7,0.3078758949880668257756563245823389
125.8,10.95,77.4,38.7,0.3076311605723370429252782193958665
125.9,10.95,77.4,38.7,0.3073868149324861000794281175536140
126.0,10.95,77.4,38.7,0.3071428571428571428571428571428571
126.1,10.95,77.4,38.7,0.3068992862807295796986518636003172
126.2,10.95,77.4,38.7,0.3066561014263074484944532488114105
126.3,10.95,77.4,38.7,0.3064133016627078384798099762470309
126.4,10.95,77.4,38.7,0.3061708860759493670886075949367089
126.5,10.95,77.4,38.7,0.3059288537549407114624505928853755
126.6,10.95,77.4,38.7,0.3056872037914691943127962085308057
126.7,10.95,77.4,38.7,0.3054459352801894238358326756116811
126.8,10.95,77.4,38.7,0.3052050473186119873817034700315457
126.9,10.95,77.4,38.7,0.3049645390070921985815602836879433
127.0,10.95,77.4,38.7,0.3047244094488188976377952755905512
127.1,10.95,77.4,38.7,0.3044846577498033044846577498033045
127.2,10.95,77.4,38.7,0.3042452830188679245283018867924528
127.3,10.95,77.4,38.7,0.3040062843676355066771406127258445
127.4,11.00,77.4,38.7,0.3037676609105180533751962323390895
127.5,11.10,77.4,38.7,0.3035294117647058823529411764705882
127.6,11.20,77.4,38.7,0.3032915360501567398119122257053292
127.7,11.30,77.4,38.7,0.3030540328895849647611589663273297
127.8,11.40,77.4,38.7,0.3028169014084507042253521126760563
127.9,11.50,77.4,38.7,0.3025801407349491790461297888975762
128.0,11.60,77.4,38.7,0.30234375
128.1,11.70,77.4,38.7,0.3021077283372365339578454332552693
128.2,11.80,77.4,38.7,0.3018720748829953198127925117004680
128.3,11.90,77.4,38.7,0.3016367887763055339049103663289166
128.4,12.00,77.4,38.7,0.3014018691588785046728971962616822
128.5,12.10,77.4,38.7,0.3011673151750972762645914396887160
128.6,12.20,77.4,38.7,0.3009331259720062208398133748055988
128.7,12.30,77.4,38.7,0.3006993006993006993006993006993007
128.8,12.35,77.4,38.7,0.3004658385093167701863354037267081
128.9,12.35,77.4,38.7,0.3002327385570209464701318851823119
129.0,12.35,77.4,38.7,0.3
129.1,12.35,77.4,38.7,0.2997676219984508133230054221533695
129.2,12.35,77.4,38.7,0.2995356037151702786377708978328173
129.3,12.35,77.4,38.7,0.2993039443155452436194895591647332
129.4,12.35,77.4,38.7,0.2990726429675425038639876352395672
129.5,12.35,77.4,38.7,0.2988416988416988416988416988416988
129.6,12.35,77.4,38.7,0.2986111111111111111111111111111111
129.7,12.35,77.4,38.7,0.2983808789514263685427910562837317
129.8,12.35,77.4,38.7,0.2981510015408320493066255778120185
129.9,12.35,77.4,38.7,0.2979214780600461893764434180138568
130.0,12.35,77.4,38.7,0.2976923076923076923076923076923077
130.1,12.35,77.4,38.7,0.2974634896233666410453497309761722
130.2,12.35,77.4,38.7,0.2972350230414746543778801843317972
130.3,12.35,77.4,38.7,0.2970069071373752877973906369915579
130.4,12.35,77.4,38.7,0.2967791411042944785276073619631902
